"","tBodyAcc-mean()-X","tBodyAcc-mean()-Y","tBodyAcc-mean()-Z","tGravityAcc-mean()-X","tGravityAcc-mean()-Y","tGravityAcc-mean()-Z","tBodyAccJerk-mean()-X","tBodyAccJerk-mean()-Y","tBodyAccJerk-mean()-Z","tBodyGyro-mean()-X","tBodyGyro-mean()-Y","tBodyGyro-mean()-Z","tBodyGyroJerk-mean()-X","tBodyGyroJerk-mean()-Y","tBodyGyroJerk-mean()-Z","tBodyAccMag-mean()","tGravityAccMag-mean()","tBodyAccJerkMag-mean()","tBodyGyroMag-mean()","tBodyGyroJerkMag-mean()","fBodyAcc-mean()-X","fBodyAcc-mean()-Y","fBodyAcc-mean()-Z","fBodyAcc-meanFreq()-X","fBodyAcc-meanFreq()-Y","fBodyAcc-meanFreq()-Z","fBodyAccJerk-mean()-X","fBodyAccJerk-mean()-Y","fBodyAccJerk-mean()-Z","fBodyAccJerk-meanFreq()-X","fBodyAccJerk-meanFreq()-Y","fBodyAccJerk-meanFreq()-Z","fBodyGyro-mean()-X","fBodyGyro-mean()-Y","fBodyGyro-mean()-Z","fBodyGyro-meanFreq()-X","fBodyGyro-meanFreq()-Y","fBodyGyro-meanFreq()-Z","fBodyAccMag-mean()","fBodyAccMag-meanFreq()","fBodyBodyAccJerkMag-mean()","fBodyBodyAccJerkMag-meanFreq()","fBodyBodyGyroMag-mean()","fBodyBodyGyroMag-meanFreq()","fBodyBodyGyroJerkMag-mean()","fBodyBodyGyroJerkMag-meanFreq()"
"Subject25",0.27088797898533,-0.0173289751240098,-0.102593436769046,0.688887718036675,-0.0823672275215159,-0.0858672154621027,0.0784127907931051,0.00469921324680196,-0.00432880814760636,-0.0213047474322005,-0.08051944129511,0.0731551199905244,-0.095110495396643,-0.0443051841432494,-0.0446678393948411,-0.429912298269682,-0.429912298269682,-0.590101324705134,-0.449082878853521,-0.719706764173594,-0.570886005654523,-0.418254391781565,-0.511290711672372,-0.334768344477506,-0.112315751361125,-0.0937330388356968,-0.621036092920049,-0.557785762004157,-0.661601944783619,-0.187838057545672,-0.319865587361858,-0.223061262325819,-0.672180847784841,-0.567853712105379,-0.480748582232763,-0.224340254016626,-0.325997593607824,-0.179624862110513,-0.479675038663081,-0.0354217382972861,-0.570010385185941,0.123337575249144,-0.589589591188998,-0.143763257771149,-0.748766338587677,0.0710942877143765
"Subject26",0.279343552589286,-0.0155673602379847,-0.108357862581633,0.717547973204082,0.0538676560943878,-0.011569967921352,0.0761934408107143,0.00591851209874235,-0.00809965011325255,-0.0238097136508418,-0.0803161934452041,0.0830539552520408,-0.0979677332362245,-0.0453570885994133,-0.0568401732272959,-0.553145825898367,-0.553145825898367,-0.680879910255536,-0.620815525365051,-0.810372966954337,-0.624352129086735,-0.542875138447219,-0.729153438505102,-0.199526462021939,0.0460725583970561,0.0390298700020153,-0.677719857118878,-0.64448125591301,-0.80427175965051,-0.0137327482865893,-0.180619248124005,-0.0755254766915816,-0.692254583805867,-0.748641581402423,-0.70481435282398,-0.125755822880383,-0.205521200540816,-0.0410355960810204,-0.592855382399617,0.070382320403699,-0.647485400235459,0.178012924889286,-0.726589721928571,-0.121953430517374,-0.836481599464286,0.115700462405179
"Subject27",0.276215980710106,-0.0166765448101862,-0.110817343361702,0.703976440220745,-0.0590459221010638,0.0228487836143617,0.0781118026029255,0.00935994232268351,0.000239933272327128,-0.012504343696383,-0.0720424789026596,0.0734389077393617,-0.107070179976755,-0.0413566785963032,-0.0540142057711968,-0.630200146413271,-0.630200146413271,-0.732980991723404,-0.727366948191489,-0.864382688590426,-0.709926679327394,-0.681560557255745,-0.674351163954043,-0.229117599627394,-0.0242756440897872,0.0429053529636436,-0.751614322978723,-0.75564959675,-0.759697380215426,-0.029487188524734,-0.175941174299947,-0.154893873066755,-0.795496634535638,-0.823237883244681,-0.765155544946808,-0.140343412338564,-0.162557419831117,-0.058161382808484,-0.679775144702926,0.059227128687234,-0.721516988634176,0.232006824730957,-0.825041374468085,-0.055460332406383,-0.876637152952128,0.173265772288856
"Subject28",0.273589537507853,-0.0177823922252094,-0.108717714258822,0.677586647094241,0.00764055943193717,0.0841260422945026,0.0813441902704189,0.00907255895078534,0.00346507665131675,-0.0144964147345654,-0.0802267978381623,0.0763223552028796,-0.107540695131675,-0.0394237825593455,-0.0513884101276702,-0.580777543682042,-0.580777543682042,-0.705963156603403,-0.682103946750131,-0.815953127696335,-0.66257288866055,-0.612478377208822,-0.72618064560733,-0.238713700250524,-0.0136918966921204,-0.0166427221593194,-0.725471992844241,-0.703110505251309,-0.808334944136126,-0.0821421284437173,-0.181706841016361,-0.164032479027277,-0.735331856346859,-0.780562334816754,-0.733311802329843,-0.104450018224634,-0.149963502837827,-0.0715898634402618,-0.655639305985079,0.0138825720705393,-0.706419082982984,0.208514234738848,-0.774586382434555,-0.0320359879182984,-0.833732032408377,0.193367029930367
"Subject29",0.269876726156977,-0.0181751958273285,-0.119568745900517,0.484618694767442,0.0547996229680233,0.137927460198343,0.0775948417252616,0.0116250830008184,-0.00225975671470349,-0.0392131465619198,-0.0705135645331395,0.0900468522726744,-0.0894893444360465,-0.0381068855209419,-0.0569426634611047,-0.512413722907238,-0.512413722907238,-0.556827865164244,-0.532333415487209,-0.668814766066279,-0.568783997602064,-0.502137205085814,-0.632213359367006,-0.204057134936,0.093452118302093,0.182079608600814,-0.574402891519942,-0.578985397899128,-0.66630499565407,0.000816618234011627,-0.15760954010564,-0.000958441794921511,-0.533667110986628,-0.625133204547674,-0.585937168182035,-0.0151254677594767,-0.165753671662529,-0.0193433152797384,-0.537962718076948,0.150660697124709,-0.556626458233779,0.236257116223547,-0.620431582638663,0.0131202037523256,-0.706830336630814,0.148955256047965
"Subject30",0.27761051097389,-0.0179827169452219,-0.108419682460052,0.633124647718016,-0.0534124981879896,0.0763395996396867,0.0826096208091384,0.00321245649244439,-0.011261328514752,-0.0282235511490339,-0.0782989712334987,0.0849414084,-0.10028107943812,-0.0407700502844648,-0.0530595826906005,-0.596061213023238,-0.596061213023238,-0.684869540075457,-0.673499454785901,-0.795965526005222,-0.67458872332846,-0.56684920008564,-0.689742455981462,-0.240510217537598,0.0132875059989191,0.0289686661534386,-0.698932275148303,-0.657764053032376,-0.75333912465953,0.00610140367279373,-0.19772448742376,-0.129519741333446,-0.734276456579634,-0.745506543480418,-0.691189138616188,-0.123204872270235,-0.209891485751175,-0.0439088261955614,-0.636756996114882,0.046707778187859,-0.659486415044961,0.206270979799164,-0.761208113420366,-0.0432837891571802,-0.815071682167102,0.157030496674047
"Subject2",0.274439828923179,-0.0168061732541523,-0.108668255487417,0.590246065364238,0.0505410507205298,0.23919816586394,0.0793191548920861,0.0154943686960927,-0.00767921245559603,-0.00699415614847682,-0.0961055865854305,0.0805087108384106,-0.109868892571556,-0.0385472333886755,-0.0584891977849669,-0.475037336590464,-0.475037336590464,-0.586202044321192,-0.618680213623841,-0.782321564768212,-0.569999157030132,-0.482544927861589,-0.668417139400662,-0.194869096526222,0.0574490974462252,0.0886186445089073,-0.580048704145364,-0.550916920286424,-0.723576470695364,0.0513882991349338,-0.157869550955629,-0.0486316986728477,-0.621859269860927,-0.778103932980132,-0.623321988483444,-0.137624537399901,-0.176825910716821,-0.0339087766088742,-0.550059296284768,0.126769879286993,-0.560945526478808,0.180092267007947,-0.714939775066225,-0.0915537249897351,-0.820844185463576,0.161551296679801
"Subject4",0.275881275694006,-0.0185701101782019,-0.108733712408233,0.621934836340694,0.0413085594731861,0.100454602518612,0.0787240949343533,0.0156900788725394,-0.0076273369519306,-0.03141150416653,-0.0806254573395899,0.0840882614307571,-0.0945531041223975,-0.0426414560911672,-0.061400535921388,-0.595106224288013,-0.595106224288013,-0.629680822135016,-0.59169340900511,-0.648421829714511,-0.650575409570032,-0.606192756870662,-0.548206633687697,-0.193729926309716,0.0453891171559464,0.116979301877918,-0.665577338416404,-0.667972856148896,-0.620426094825237,0.045262269162776,-0.107869956954132,-0.0811265129116719,-0.723025606526814,-0.537535909807256,-0.665218261417035,-0.0134064364320189,-0.0601958254611987,0.0132073093022082,-0.581413064015457,0.123211331050158,-0.589521101470663,0.21847019141918,-0.56246528423123,0.154773595384227,-0.604625145114826,0.158856734349842
"Subject9",0.274979076995139,-0.0207759603306597,-0.111328108353819,0.727805375902778,0.00129353673263889,0.204654276861458,0.0749851117830903,0.0136316382162847,0.00182789798558681,-0.00334902093680556,-0.0819023152127431,0.0877694352244097,-0.109053410195069,-0.0395245065355208,-0.0581281307468403,-0.542945064159722,-0.542945064159722,-0.723704863989583,-0.594600172620139,-0.797738860298611,-0.689166884092014,-0.562689471503472,-0.651575080456597,-0.285351997234722,-0.0740765849350694,-0.0356958396655903,-0.739977325761458,-0.703131530392014,-0.769209230513889,-0.0902575269288194,-0.293542236999132,-0.223083435827674,-0.667725986256944,-0.73358964478125,-0.686168454190278,-0.170181939999306,-0.2953524150875,-0.137683155404514,-0.637507761954861,0.0100621016624653,-0.709153137194444,0.170581269854896,-0.710342827170139,-0.147589583325764,-0.814394972006944,0.0873900515177778
"Subject10",0.267236052506463,-0.015840094490102,-0.10475650144898,0.551485992346939,0.140563755901361,0.234781310831395,0.0858571556363265,0.00809719958431973,-0.0108495026078707,-0.0051850950670068,-0.0865879178070748,0.0982188478687075,-0.104832925856463,-0.0407453271611224,-0.0559213209774422,-0.662118540122449,-0.662118540122449,-0.806742903707483,-0.696952886230952,-0.866340838843537,-0.78277620547619,-0.670734700734694,-0.778124670918367,-0.255453192836054,-0.04177626364,0.0154454538361531,-0.824078312653061,-0.777426981598639,-0.856927641734694,-0.0389087521571429,-0.240295751239184,-0.130314323214388,-0.735256038085034,-0.838865494897959,-0.788948446462585,-0.126426668655544,-0.283246939423095,-0.0639810283461224,-0.742317961482993,0.00414942664965986,-0.801567171836735,0.201643368073844,-0.796239503333333,-0.161116683605034,-0.888363993945578,0.115092524352177
"Subject12",0.2777136460625,-0.0177595168713719,-0.109648265900625,0.72491286259375,0.04290864396875,0.184872897630418,0.080831466808125,0.0067614348089375,-0.0076398566861875,-0.02093385494625,-0.0814956428466875,0.0835641671735937,-0.097467470660875,-0.0400440800285312,-0.054168655098125,-0.556202509521562,-0.556202509521562,-0.66103132603125,-0.660970634034375,-0.77603505009375,-0.609383088249687,-0.569541878475625,-0.698438248171875,-0.22251570727625,0.0221549781846875,0.112142182103438,-0.663221354974687,-0.663747666449375,-0.750459225875,-0.039805316409375,-0.201950478391406,-0.117340636893438,-0.667023050653125,-0.776999948375,-0.656880995815625,-0.0332889501809375,-0.0811415490060937,-0.0143648020078125,-0.586789573819062,0.0882691727465,-0.64377394851875,0.174470963166875,-0.74345450146875,-0.00355843611984687,-0.80350103315625,0.138376588643378
"Subject13",0.277461965749235,-0.0168882487598315,-0.111658410370948,0.594186103914373,0.0268280817278287,0.132434644115596,0.0767519762929664,0.00574023955944648,-0.00537101098715596,-0.0646292198816208,-0.0534537686129664,0.114908714952905,-0.0884965120085535,-0.0462410765397248,-0.0600099897590214,-0.573754346174618,-0.573754346174618,-0.657682654396024,-0.651497074853517,-0.796254138287462,-0.634588162420795,-0.589457041074924,-0.674988792348624,-0.20013964752263,0.0801051378206116,0.122437983731193,-0.672131389863914,-0.6496103799263,-0.734999074180428,-0.0522223774028135,-0.148528343032416,-0.0996363424840979,-0.733278026103976,-0.765379658094495,-0.659842682143731,-0.100442032518287,-0.0379441794069725,-0.0257847427660398,-0.619496218574924,0.17246409038367,-0.642287745177064,0.221231054344954,-0.75474436382263,0.018334956871529,-0.812953436131499,0.185225326335352
"Subject18",0.27817025967033,-0.0190408993832692,-0.109177557142308,0.60996746032967,-0.141045670857143,-0.0437026709123626,0.0828921084563187,0.0139680451924725,0.000581288727950548,-0.0633932101768407,-0.0478935027540082,0.100497485026099,-0.0878799805626374,-0.0448383824558517,-0.0603963405659066,-0.612572282342033,-0.612572282342033,-0.691068049159341,-0.653024916083517,-0.790245179714286,-0.656245891835165,-0.587690554203846,-0.719120971766483,-0.218151744133791,-0.0620334006101648,0.0271248451483516,-0.689085438078846,-0.672820035588187,-0.780884462107143,-0.0354190163489011,-0.273424189501624,-0.122656466005632,-0.677242261043956,-0.748870670851648,-0.677024884649176,-0.147505926382637,-0.269285886737637,-0.0786887665242582,-0.631399956793956,0.0240019679200824,-0.678033124872802,0.174148513318407,-0.739045879259341,-0.119697115870577,-0.807115508296703,-0.00284625071104396
"Subject20",0.278346782850282,-0.0187775560463842,-0.109270932524576,0.688294306892655,0.104437975371751,0.196140386926667,0.0768505747543503,0.00916049865299435,-0.00311643827708757,-0.013772933573178,-0.085505182561017,0.0895998795638136,-0.100232369060989,-0.045934347654661,-0.0536863401183616,-0.545798535267514,-0.545798535267514,-0.657453522222599,-0.593703210013898,-0.797365849858757,-0.572713381915339,-0.577778607332203,-0.672739814265537,-0.167757299675989,0.122420089793559,0.0856850662743785,-0.622738492130791,-0.63391905805226,-0.76256791220339,0.00771296203525424,-0.0876497219042938,-0.0115653928067797,-0.678028711919209,-0.730427241666667,-0.679549709138418,-0.00506516644522599,-0.250076944860452,0.0118233189734746,-0.581040216311864,0.160830821151017,-0.602667609249633,0.225634461271319,-0.717789368967797,-0.0448946318645198,-0.836136389491525,0.208496024660593
